state,city,nameoftheorganisation
Andaman & Nicobar,Port Blair,Regional Medical Research Centre (ICMR)
Andhra Pradesh,Kakinada,Rangaraya Medical College
Andhra Pradesh,Vijayawada,Sidhartha Medical College
Assam,Dibrugarh,"Regional Medical Research Center, NE Region"
Assam,Guwahati,Gauhati Medical College
Assam,Jorhat,Jorhat Medical College
Assam,Silchar,Silchar Medical College
Assam,Tezpur,TEZPUR MEDICAL COLLEGE & HOSPITAL
Bihar,Darbhanga,Darbhanga Medical College
Bihar,Patna,Indira Gandhi Institute of Medical Sciences
Bihar,Patna,Rajendra Memorial Research Institute of Medical Sciences
Chandigarh,Chandigarh,Post Graduate Institute of Medical Education & Research
Chandigarh,Chandigarh,Govt. Medical College
Chhattisgarh,Raipur,All India Institute of Medical Sciences
Chhattisgarh,Jagdalpur,Late Baliram Kashyap M Govt. Medical College
Delhi,Delhi,All India Institute Medical Sciences
Delhi,Delhi,Lady Hardinge Medical College
Delhi,Delhi,National Centre for Disease Control
Delhi,Delhi,Atal Bihari Vajpayee Institute of Medical Sciences and Ram Manohar Lohia Hospital
Delhi,Delhi,Institute of Liver & Biliary Sciences
Delhi,Delhi,Army Hospital Research & Referral
Goa,Bambolim,Goa Medical College
Gujarat,Bhavnagar,Govt. Medical College
Gujarat,Jamnagar,MP Shah Govt Medical College
Gujarat,Rajkot,"Govt Medical College, Rajkot"
Gujarat,Surat,Govt. Medical College
Gujarat,Vadodara,Govt. Medical College
Gujarat,Rajkot,Government
Gujarat,Ahmedabad,B J medical college
Gujarat,Surat,SMIMER Hospital & Medical College
Haryana,Rohtak,Pt. B.D. Sharma Post Graduate Inst. of Med. Sciences
Haryana,Sonepat,BPS Govt. Medical College
Haryana,Faridabad,ESIC Medical College and Hospital
Himachal Pradesh,Kangra,Dr. Rajendra Prasad Govt. Medical College
Himachal Pradesh,Shimla,Indira Gandhi Medical College & Hospital
Jammu & Kashmir,Jammu,Govt. Medical College
Jammu & Kashmir,Srinagar,Sher-i-Kashmir Institute of Medical Sciences
Jammu & Kashmir,Srinagar,Government Medical College
Jammu & Kashmir,Udhampur,Command Hospital (NC)
Jharkhand,Jamshedpur,MGM Medical College & Hospital
Karnataka,Bangalore,Rajiv Gandhi Institute For Chest Disease
Karnataka,Bangalore,Anand Diagnostic Laboratory Banashankari
Karnataka,Bangalore,Bangalore Medical College & Research Institute
Karnataka,Bangalore,Command Hospital (Air Force)
Karnataka,Bangalore,National Institute of Mental Health & Neurosciences
Karnataka,Gulbarga,Gulbarga Institute of Medical Sciences
Karnataka,Hassan,Hassan Inst. of Med. Sciences
Karnataka,Mangalore,Wenlock District Hospital
Karnataka,Mysore,Mysore Medical College & Research Institute
Karnataka,Shimoga,Shimoga Instt. of Medical Sciences
Karnataka,Bangalore,Sakra World Hospital Lab Services
Kerala,Alappuzha,National Institute Of Virology
Kerala,Kottayam,Inter University
Kerala,Kozhikode,"Govt. Medical College, Kozhikode"
Kerala,Thiruvananthapuram,Sree Chitra Tirunal Institute Of Medical Sciences
Kerala,Thiruvananthapuram,Rajiv Gandhi Center For Biotechnology
Kerala,Thiruvananthapuram,Govt. Medical College
Kerala,Thiruvananthapuram,State Public Health Laboratory
Kerala,Thrissur,Govt. Medical College
Madhya Pradesh,Bhopal,"All India Institute of Medical Sciences, Bhopal"
Madhya Pradesh,Bhopal,Gandhi Medical College
Madhya Pradesh,Gwalior,Defense Research Development Establishment
Madhya Pradesh,Indore,Mahatma Gandhi Memorial Medical College
Madhya Pradesh,Jabalpur,National Institute for Research on Tribal Health
Madhya Pradesh,Bhopal,"All India Institute of Medical Sciences (AIIMS), Bhopal"
Madhya Pradesh,Bhopal,"Gandhi Medical College, Bhopal"
Madhya Pradesh,Bhopal,"Bhopal Memorial Hospital & Research Centre, Bhopal"
Madhya Pradesh,Indore,"Mahatma Gandhi Memorial Medical College, Indore"
Madhya Pradesh,Jabalpur,"National Institute for Research in Tribal Health, Jabalpur"
Madhya Pradesh,Gwalior,"Gajra Raja Medical College, Gwalior"
Madhya Pradesh,Gwalior,"Defence Research & Development Establishment (DRDE), Gwalior"
Maharashtra,Aurangabad,Government Medical College
Maharashtra,Dhule,Shree Bhausaheb Hire Govt. Medical College
Maharashtra,Miraj,Government Medical College
Maharashtra,Mumbai,Kasturba Hospital for Infectious Diseases
Maharashtra,Mumbai,Grant Medical College & Sir JJ Hospital
Maharashtra,Mumbai,Haffkine Institute
Maharashtra,Nagpur,Indira Gandhi Govt. Medical College
Maharashtra,Nagpur,Indira Gandhi Government Medical College & Hospital
Maharashtra,Pune,BJ Medical College
Maharashtra,Pune,Armed Forces Medical College
Maharashtra,Pune,National Institute of Virology
Maharashtra,Solapur,V. M. Government Medical College
Manipur,Imphal,Regional Institute of Medical Sciences
Manipur,Imphal,"Jawaharlal Nehru Institute of Med. Sciences, Imphal-East"
Meghalaya,Shillong,North Eastern Indira Gandhi Regional Institute of Health & Medical Sciences
Odisha,Bhubaneswar,Regional Medical Research Centre
Odisha,Bhubaneswar,All India Institute of Medical Sciences
Puducherry,Puducherry,"Jawaharlal Institute of Postgraduate Medical Education & Research, Puducherry"
Punjab,Amritsar,Govt. Medical College
Punjab,Patiala,Govt. Medical College
Punjab,Ludhiana,Dayanand Medical Colege & Hospital
Tamil Nadu,Vellore,"Dept. of Clinical Virology, CMC, Vellore"
Tamil Nadu,Chennai,"Department of Laboratory Services, Apollo Hospitals Enterprise Ltd, Chennai"
Tamil Nadu,Chennai,"Neuberg Ehrlich Lab Pvt Ltd, 46-48 Masilamani Road, Balaji Nagar, Chennai"
Tamil Nadu,Chennai,"Sri Ramachandra Medical College & Research Institute, Porur, Chennai"
Tamil Nadu,Coimbatore,"Microbiology Lab, Veerakeralam Road, Coimbatore"
Tamil Nadu,Chennai,"YRG CARE, Taramani, Chennai"
Tamil Nadu,Chennai,"Hitech Diagnostic Centre- A Unit of Dr. Ganesan’s Hitech Diagnostic Centre PVt Ltd, Poonamallee High Road, Chennai"
Tamil Nadu,Chennai,". MIOT Hospitals – Dept of Lab Medicine, 4/112, Mount Poonamallee Road, Manapakkam, Chennai"
Tamil Nadu,Chennai,"Madras Medical Mission Clinical Lab Services, 4-A, Dr. J. Jayalalitha Nagar, Mogappair East, Chennai"
Tamil Nadu,Coimbatore,"PSG Hospitals Diagnostic Centre, Avinashi Road, Peelamedu, Coimbatore"
Telangana,Secunderabad,"Gandhi Medical College, Secunderabad"
Telangana,Hyderabad,"Osmania Medical College, Hyderabad"
Telangana,Hyderabad,"Sir Ronald Ross of Tropical & Communicable Diseases, Hyderabad"
Telangana,Hyderabad,"Nizam’s Institute Of Medical Sciences, Hyderabad"
Telangana,Hyderabad,"Institute of Preventive Medicine, Hyderabad"
Telangana,Hyderabad,"CSIR – Centre for Cellular and Molecular Biology, Hyderabad"
Telangana,Hyderabad,"Laboratory Services Apollo Hospitals, Hyderabad"
Telangana,Hyderabad,"Vijaya Diagnostic Centre Pvt. Ltd, Hyderabad"
Telangana,Hyderabad,"Vimta Labs Ltd., Hyderabad"
Telangana,Hyderabad,"Apollo Health and Lifestyle Limited-Secunderabad, Diagnostics Laboratory, Hyderabad"
Telangana,Hyderabad,"Dr. Remedies labs Private Limited, Hyderabad"
Telangana,Hyderabad,"PathCare Labs Pvt. Ltd., Hyderabad"
Telangana,Hyderabad,"American Institute of Pathology and Laboratory Sciences Private Limited, Hyderabad"
Telangana,Hyderabad,"Medcis Pathlabs India Pvt.Ltd., Secunderabad"
Telangana,Hyderabad,"The Department of Laboratory Medicine, Yashoda Hospital, Secunderabad"
Telangana,Hyderabad,"Biognosys Technologies (India) Private Limited, Hyderabad"
Uttar Pradesh,Allahabad,Swaroop Rani Nehru Hospital
Uttar Pradesh,Noida,"National Institute of Biologicals, Noida"
West Bengal,Alipurduar,Coochbehar Medical College
Rajasthan,Ajmer,JLN Medical College
Rajasthan,Bikaner,SP Medical College
Rajasthan,Jaipur,Sawai Man Singh Medical College
Rajasthan,Jhalawar,Jhalawar Medical College
Rajasthan,Jodhpur,All India Institute of Medical Sciences
Rajasthan,Jodhpur,Dr. Sampurnanand Medical College
Rajasthan,Kota,Govt. Medical College
Rajasthan,Udaipur,RNT Medical College
Sikkim,Gangtok,Sir Thutob Namgyal Memorial (STNM)
Tamil Nadu,Chennai,Madras Medical College
Tamil Nadu,Chennai,King Institute of Preventive Medicine & Research
Tamil Nadu,Chennai,Stanley Medical College
Tamil Nadu,Coimbatore,Microbiological Laboratory
Tamil Nadu,Coimbatore,Coimbatore Medical College
Tamil Nadu,Madurai,Madurai Medical College
Tamil Nadu,Salem,Kumar Mangalam Govt. Medical College
Tamil Nadu,Theni,Govt. Theni Medical College
Tamil Nadu,Thiruvarur,Govt. Medical College
Tamil Nadu,Tiruchirappalli,Govt. Medical College
Tamil Nadu,Tirunelveli,"Tirunelveli Medical College, Tirunelveli"
Tamil Nadu,Villupuram,Govt. Medical College
Telangana,Secunderabad,Gandhi Medical College
Telangana,Hyderabad,Osmania Medical College
Telangana,Hyderabad,Sir Ronald Ross Institute of Tropical & Communicable Diseases
Telangana,Hyderabad,Nizam’s Institute of Medical Sciences
Telangana,Hyderabad,Institute of Preventive Medicine
Telangana,Hyderabad,Centre for Cellular & Molecular Biology
Tripura,Agartala,Government Medical College
Uttar Pradesh,Aligarh,Jawaharlal Nehru Medical College
Uttar Pradesh,Aligarh,Jawaharlal Nehru Medical College
Uttar Pradesh,Gorakhpur,Regional Medical Research Centre
Uttar Pradesh,Lucknow,Command Hospital
Uttar Pradesh,Lucknow,King George Medical University
Uttar Pradesh,Lucknow,Sanjay Gandhi Post Graduate Institute
Uttar Pradesh,Meerut,Lala Lajpat Rai Memorial Medical College
Uttar Pradesh,Saifai,Uttar Pradesh RIMS
Uttar Pradesh,Varanasi,"Institute of Medical Sciences, Banaras Hindu University"
Uttar Pradesh,Varanasi,"Institute of Medical Sciences, Banaras Hindu University"
Uttarakhand,Haldwani,Govt. Medical College
Uttarakhand,Rishikesh,All India Institute of Medical Sciences
West Bengal,Siliguri,North Bengal Medical College
West Bengal,Kolkata,Institute of Post Graduate Medical Education & Research
West Bengal,Kolkata,National Institute of Cholera & Enteric Diseases
West Bengal,Kolkata,Chittaranjan National Cancer Institute
West Bengal,Midnapore,Midnapore Medical College
